Path,Class,Atom,Snippet,Line
/home/jovyan/work/workspace/Qualificacao/repos/zxing/android/src/com/google/zxing/client/android/DecodeFormatManager.java,com.google.zxing.client.android.DecodeFormatManager,Logic as Control Flow,if (((formats != null) && (formats.size() == 1)) && (formats.get(0) != null)) {     formats = Arrays.asList(COMMA_PATTERN.split(formats.get(0))); },81
/home/jovyan/work/workspace/Qualificacao/repos/zxing/android/src/com/google/zxing/client/android/DecodeFormatManager.java,com.google.zxing.client.android.DecodeFormatManager,Logic as Control Flow,((formats != null) && (formats.size() == 1)) && (formats.get(0) != null),81
/home/jovyan/work/workspace/Qualificacao/repos/zxing/core/src/main/java/com/google/zxing/common/reedsolomon/ReedSolomonDecoder.java,com.google.zxing.common.reedsolomon.ReedSolomonDecoder,Conditional Operator,((term & 0x1) == 0) ? term | 1 : term & (~1),193
/home/jovyan/work/workspace/Qualificacao/repos/zxing/core/src/main/java/com/google/zxing/common/reedsolomon/ReedSolomonDecoder.java,com.google.zxing.common.reedsolomon.ReedSolomonDecoder,Logic as Control Flow,while ((r.getDegree() >= rLast.getDegree()) && (!r.isZero())) {     int degreeDiff = r.getDegree() - rLast.getDegree();     int scale = field.multiply(r.getCoefficient(r.getDegree()) dltInverse);     q = q.addOrSubtract(field.buildMonomial(degreeDiff scale));     r = r.addOrSubtract(rLast.multiplyByMonomial(degreeDiff scale)); } ,133
,com.google.zxing.common.reedsolomon.ReedSolomonDecoder,Change of Literal Encoding,((term & 0x1) == 0) ? term | 1 : term & (~1),193
/home/jovyan/work/workspace/Qualificacao/repos/zxing/core/src/main/java/com/google/zxing/oned/CodaBarReader.java,com.google.zxing.oned.CodaBarReader,Infix Operator Precedence,(j & 1) + (pattern & 1) * 2,182
/home/jovyan/work/workspace/Qualificacao/repos/zxing/core/src/main/java/com/google/zxing/oned/CodaBarReader.java,com.google.zxing.oned.CodaBarReader,Infix Operator Precedence,((float) sizes[i] / counts[i] + (float) sizes[i + 2] / counts[i + 2]) / 2.0f,199
/home/jovyan/work/workspace/Qualificacao/repos/zxing/core/src/main/java/com/google/zxing/oned/CodaBarReader.java,com.google.zxing.oned.CodaBarReader,Infix Operator Precedence,(sizes[i + 2] * MAX_ACCEPTABLE + PADDING) / counts[i + 2],201
/home/jovyan/work/workspace/Qualificacao/repos/zxing/core/src/main/java/com/google/zxing/oned/CodaBarReader.java,com.google.zxing.oned.CodaBarReader,Infix Operator Precedence,(j & 1) + (pattern & 1) * 2,211
/home/jovyan/work/workspace/Qualificacao/repos/zxing/core/src/main/java/com/google/zxing/oned/CodaBarReader.java,com.google.zxing.oned.CodaBarReader,Conditional Operator,((i & 1) == 0) ? thresholdBar : thresholdSpace,328
/home/jovyan/work/workspace/Qualificacao/repos/zxing/core/src/main/java/com/google/zxing/oned/CodaBarReader.java,com.google.zxing.oned.CodaBarReader,Logic as Control Flow,if ((decodeRowResult.length() > 1) && arrayContains(STARTEND_ENCODING ALPHABET[charOffset])) {     break; },100
/home/jovyan/work/workspace/Qualificacao/repos/zxing/core/src/main/java/com/google/zxing/oned/CodaBarReader.java,com.google.zxing.oned.CodaBarReader,Logic as Control Flow,if ((hints == null) || (!hints.containsKey(RETURN_CODABAR_START_END))) {     decodeRowResult.deleteCharAt(decodeRowResult.length() - 1);     decodeRowResult.deleteCharAt(0); },142
/home/jovyan/work/workspace/Qualificacao/repos/zxing/core/src/main/java/com/google/zxing/oned/CodaBarReader.java,com.google.zxing.oned.CodaBarReader,Logic as Control Flow,if ((charOffset != (-1)) && arrayContains(STARTEND_ENCODING ALPHABET[charOffset])) {     int patternSize = 0;     for (int j = i; j < (i + 7); j++) {         patternSize += counters[j];     }     if ((i == 1) || (counters[i - 1] >= (patternSize / 2))) {         return i;     } },264
,com.google.zxing.oned.CodaBarReader,Change of Literal Encoding,(j & 1) + ((pattern & 1) * 2),182
,com.google.zxing.oned.CodaBarReader,Change of Literal Encoding,((pattern & 1) * 2),182
,com.google.zxing.oned.CodaBarReader,Change of Literal Encoding,(j & 1) + ((pattern & 1) * 2),211
,com.google.zxing.oned.CodaBarReader,Change of Literal Encoding,((pattern & 1) * 2),211
,com.google.zxing.oned.CodaBarReader,Change of Literal Encoding,(i & 1) == 0,328
/home/jovyan/work/workspace/Qualificacao/repos/zxing/core/src/main/java/com/google/zxing/oned/CodaBarReader.java,com.google.zxing.oned.CodaBarReader,Type Conversion,(char) charOffset,97
/home/jovyan/work/workspace/Qualificacao/repos/zxing/core/src/main/java/com/google/zxing/oned/rss/expanded/ExpandedPair.java,com.google.zxing.oned.rss.expanded.ExpandedPair,Conditional Operator,"(finderPattern == null ? ""null"" : finderPattern.getValue())",71
/home/jovyan/work/workspace/Qualificacao/repos/zxing/core/src/main/java/com/google/zxing/oned/rss/expanded/ExpandedPair.java,com.google.zxing.oned.rss.expanded.ExpandedPair,Logic as Control Flow,return (Objects.equals(leftChar that.leftChar) && Objects.equals(rightChar that.rightChar)) && Objects.equals(finderPattern that.finderPattern),80
/home/jovyan/work/workspace/Qualificacao/repos/zxing/core/src/main/java/com/google/zxing/oned/rss/expanded/ExpandedPair.java,com.google.zxing.oned.rss.expanded.ExpandedPair,Logic as Control Flow,(Objects.equals(leftChar that.leftChar) && Objects.equals(rightChar that.rightChar)) && Objects.equals(finderPattern that.finderPattern),80
/home/jovyan/work/workspace/Qualificacao/repos/zxing/android/src/com/google/zxing/client/android/wifi/WifiConfigManager.java,com.google.zxing.client.android.wifi.WifiConfigManager,Conditional Operator,isHexOfLength(value allowedLengths) ? value : convertToQuotedString(value),213
